OBJECTID,Date,Lat,Lon,Genus,Species,Sex,Status,County,State,F_updated,x,y
1,1554076800000,30.393106,-86.52849,Tursiops,truncatus,Male,Fresh Dead,Okaloosa,FL,1588749604701,772501,44927
2,1554076800000,30.130453,-85.72718,Tursiops,truncatus,Female,Advanced Decomposition,Bay,FL,1588749604701,856785,76912
3,1554076800000,30.358763,-89.09889,Tursiops,truncatus,Unknown,Moderate Decomposition,Harrison,MS,1588749604701,502137,49114
4,1554163200000,30.43639,-88.105835,Tursiops,truncatus,Male,Moderate Decomposition,Mobile,AL,1588749604701,606590,39648
5,1554163200000,29.19561,-90.04981,Tursiops,truncatus,Male,Advanced Decomposition,Jefferson,LA,1588749604701,402116,190074
6,1554249600000,30.228456,-87.983345,Tursiops,truncatus,Male,Fresh Dead,Baldwin,AL,1588749604701,619474,64987
7,1554249600000,30.35408,-89.09911,Tursiops,truncatus,Male,Moderate Decomposition,Harrison,MS,1588749604701,502114,49685
8,1554336000000,30.394987,-86.564926,Tursiops,truncatus,Female,Moderate Decomposition,Okaloosa,FL,1588749604701,768668,44697
9,1554422400000,30.245283,-88.12726,Tursiops,truncatus,Male,Fresh Dead,Mobile,AL,1588749604701,604336,62939
10,1554422400000,29.673449,-84.86974,Tursiops,truncatus,Female,Moderate Decomposition,Franklin,FL,1588749604701,946974,132363
11,1554422400000,30.302744,-89.3296,Tursiops,truncatus,Male,Moderate Decomposition,Hancock,MS,1588749604701,477870,55940
12,1554422400000,30.318083,-89.31908,Tursiops,truncatus,Male,Fresh Dead,Hancock,MS,1588749604701,478977,54072
13,1554508800000,30.22895,-88.29957,Tursiops,truncatus,Female,Moderate Decomposition,Mobile,AL,1588749604701,586213,64927
14,1554508800000,30.32087,-87.25886,Tursiops,truncatus,Male,Moderate Decomposition,Escambia,FL,1588749604701,695678,53732
15,1554508800000,30.276281,-89.373604,Tursiops,truncatus,Female,Moderate Decomposition,Hancock,MS,1588749604701,473242,59164
16,1554595200000,29.712542,-89.64859,Tursiops,truncatus,Unknown,Condition Unknown,St Bernard,LA,1588749604701,444318,127630
17,1554595200000,29.712542,-89.64859,Tursiops,truncatus,Unknown,Condition Unknown,St. Bernard,LA,1588749604701,444318,127630
18,1554595200000,29.712542,-89.64859,Tursiops,truncatus,Unknown,Condition Unknown,St. Bernard,LA,1588749604701,444318,127630
19,1554681600000,30.215097,-85.69774,Tursiops,truncatus,Female,Moderate Decomposition,Bay,FL,1588749604701,859882,66614
20,1554681600000,29.431938,-89.54588,Tursiops,truncatus,Unknown,Condition Unknown,Plaquemines,LA,1588749604701,455121,161565
21,1554768000000,29.75154,-93.64563,Tursiops,truncatus,Male,Advanced Decomposition,Cameron,LA,1588749604701,23895,122906
22,1554768000000,30.3449,-88.5736,Tursiops,truncatus,Unknown,Moderate Decomposition,Jackson,MS,1588749604701,557389,50804
23,1554854400000,30.503624,-86.455055,Tursiops,truncatus,Male,Moderate Decomposition,Okaloosa,FL,1588749604701,780225,31442
24,1554854400000,29.76045,-93.13283,Tursiops,truncatus,Female,Fresh Dead,Cameron,LA,1588749604701,77833,121826
25,1554854400000,29.7145,-89.463715,Tursiops,truncatus,Male,Advanced Decomposition,St. Bernard,LA,1588749604701,463763,127393
26,1554854400000,29.737534,-89.51745,Tursiops,truncatus,Male,Advanced Decomposition,St. Bernard,LA,1588749604701,458111,124603
27,1554854400000,30.22612,-88.58923,Tursiops,truncatus,Male,Fresh Dead,Jackson,MS,1588749604701,555745,65272
28,1554940800000,30.301666,-87.60527,Tursiops,truncatus,Unknown,Fresh Dead,Baldwin,AL,1588749604701,659241,56072
29,1554940800000,30.4361,-86.5978,Tursiops,truncatus,Male,Moderate Decomposition,Okaloosa,FL,1588749604701,765210,39683
30,1554940800000,30.30342,-89.2896,Tursiops,truncatus,Male,Fresh Dead,Harrison,MS,1588749604701,482077,55858
31,1554940800000,30.21999,-88.92065,Tursiops,truncatus,Unknown,Advanced Decomposition,Harrison,MS,1588749604701,520885,66018
32,1554940800000,30.2253,-88.90714,Tursiops,truncatus,Female,Advanced Decomposition,Harrison,MS,1588749604701,522306,65372
33,1555027200000,30.349377,-88.39358,Tursiops,truncatus,Unknown,Fresh Dead,Mobile,AL,1588749604701,576324,50258
34,1555027200000,30.272627,-87.55192,Tursiops,truncatus,Female,Fresh Dead,Baldwin,AL,1588749604701,664853,59609
35,1555027200000,30.38751,-88.99926,Tursiops,truncatus,Female,Moderate Decomposition,Harrison,MS,1588749604701,512616,45609
36,1555027200000,30.37413,-89.06107,Tursiops,truncatus,Male,Moderate Decomposition,Harrison,MS,1588749604701,506115,47240
37,1555113600000,30.3217,-87.5257,Tursiops,truncatus,Male,Moderate Decomposition,Baldwin,AL,1588749604701,667611,53631
