x	y	rainfall	altitude
29.527391	80.718541	151	682
33.779391	99.529541	255	813
46.806391	102.584541	79	436
48.714391	121.453541	191	833
49.316391	113.655541	194	579
53.210391	79.099541	334	525
54.510391	106.879541	107	433
60.310391	132.350541	296	1169
60.798391	75.620541	394	548
60.818391	76.732541	394	784
76.450391	97.599541	324	785
77.703391	177.651541	105	598
85.258391	179.762541	135	434
86.300391	93.005541	585	753
86.207391	30.730541	114	466
94.396391	129.596541	334	435
101.283391	68.350541	131	1097
106.136391	19.368541	78	2054
107.313391	131.669541	398	698
123.547391	73.697541	141	1285
124.590391	110.385541	192	539
127.396391	182.643541	151	334
127.477391	193.762541	107	248
135.858391	84.735541	145	1001
140.106391	169.221541	334	799
141.565391	159.206541	327	468
143.232391	193.669541	213	300
144.679391	181.431541	331	413
145.273391	143.622541	400	654
146.012391	139.172541	327	824
148.430391	179.192541	380	596
150.380391	85.781541	94	1217
152.772391	120.245541	185	946
152.804391	131.364541	239	1223
155.962391	183.617541	330	573
156.423391	54.630541	30	725
163.466391	173.597541	254	388
170.244391	110.212541	53	690
171.780391	60.175541	78	1576
176.312391	128.007541	71	1770
184.012391	79.094541	62	1379
183.961391	101.333541	71	1220
186.168391	130.249541	59	763
191.404391	150.281541	60	436
194.354391	168.084541	124	565
195.728391	198.112541	153	407
200.359391	172.560541	75	589
201.253391	145.877541	137	750
201.206391	154.773541	86	609
202.291391	93.620541	129	1091
203.140391	78.057541	345	1312
204.135391	36.920541	441	806
203.864391	217.056541	184	756
207.622391	213.744541	121	491
209.267391	76.982541	346	996
211.370391	104.796541	270	1079
212.156391	207.103541	100	423
214.783391	157.084541	45	406
215.978391	197.124541	107	463
217.718391	72.595541	359	943
219.376391	57.041541	278	1094
219.442391	141.553541	72	904
224.215391	198.306541	131	466
226.553391	28.192541	90	828
225.852391	183.866541	141	546
225.841391	184.978541	131	532
229.148391	78.257541	452	936
233.575391	20.477541	16	770
233.162391	202.844541	136	624
235.708391	176.183541	130	765
235.446391	199.533541	118	454
236.246391	195.094541	109	442
238.428391	136.181541	145	657
241.216391	92.844541	254	1606
240.774391	192.922541	140	433
241.918391	160.687541	152	647
243.302391	170.713541	60	843
248.286391	77.363541	283	1916
251.849391	151.920541	184	1012
251.950391	198.628541	127	474
254.684391	111.925541	220	1085
255.530391	158.644541	178	1328
257.971391	95.291541	218	1869
256.875391	169.785541	137	956
264.891391	186.590541	144	459
266.710391	121.004541	230	1275
266.457391	136.570541	282	465
268.177391	77.655541	129	1529
275.178391	71.100541	65	2040
277.060391	94.489541	190	1076
283.142391	95.713541	170	1202
281.626391	175.762541	156	398
284.536391	62.374541	131	1667
290.881391	90.303541	10	1433
292.860391	68.098541	99	1989
294.997391	112.632541	92	2418
298.086391	110.473541	67	1720
312.067391	66.296541	18	2332
315.292391	59.699541	20	1058
320.911391	49.825541	55	731
